Nänäre north=Assajee south=Lalale east=Inkö west=Vääkän
Ikkämölökki north=Nite south=Kirkööljö east=Küllän west=Äsvöörettee
Ikäs north=Holaa south=Äntääsöö east=Kuusisse west=Hinsaa
Pala north=Kässe south=Ilta east=Kältäälkintis west=Eirre
Ohuto north=Mede south=Oussaa east=Tähänön west=Pähäi
Jovakaastaakka north=Söövöös south=Räküükän east=Hura west=Aattodello
Esi north=Esä south=Luunoo east=Tervinvus west=Eljanuos
Seekküülestin south=Saaktites east=Virvo west=Näksä
Aaja north=Nekäin south=Tankarvi east=Aansaa west=Tadevontoormaa
Ikäsi north=Simmi south=Tiljannutte east=Koohta west=Näällüünnä
Ooluktavellan north=Eköllistää south=Onhan east=Kovaata west=Oipelehrorous
Varva north=Sisaasnua south=Ahdusso east=Lena west=Eppiste
Isällö north=Aalkaa south=Lataa east=Enkotti west=Ineüllüüvätä
Nestügüsövää north=Intölüä south=Asta east=Anona west=Aatkaksa
Keppaataallaali north=Ääpläkki south=Änüö west=Äterkö
Tunaanoli north=Näälle south=Töre east=Alaasaa west=Taavesi
Aunsos north=Sirroonatsas south=Jarja east=Seki west=Ravui
Nittälänäni north=Sotetahuvi south=Aloorra east=Mäniistö west=Nööräntöölvä
Ose north=Äänes south=Äppänse east=Altemmit west=Sikis
Näärönes north=Rihtän south=Ästömää east=Olmi west=Listi
Rolije north=Ömössö south=Sänlevä east=Kehümä west=Apse
Öteettään north=Ete south=Savaatastanten east=Mesüükä west=Ähüülväseen
Mepaaraa north=Autto south=Nelkura east=Änäälekküsis west=Kiräs
Nohloo north=Toosi south=Jäätö east=Väköötki west=Säkääkää
Eka north=Länölüö south=Haamaastaa east=Titülöhvelii west=Ito
Käppellääde north=Äähmöös south=Eleka east=Oormava west=Havaa
Töjön north=Äärhälään south=Mäkän east=Esuus west=Vospeki
Jekkütilä north=Kuulisvo south=Äsväänsämäkün east=Pesöösääsüüsme west=Telvelönöö
Noli north=Lösküsvä south=Älähäälästis east=Ällä west=Poostaran
Itti north=Nävikkä south=Adanvarsirsa east=Änsülvöö west=Silluris
Eräännä north=Lennelkaadas south=Lelelli east=Sästi west=Räsistöö
Äksätki north=Äköä south=Näkintä east=Iipatui west=Ape
Komaa north=Elleteekuksee south=Süühüönilkidäs east=Sakaneis west=Ihepittä
Hüstääsläs north=Lidarhoon south=Tältäkis east=Kässerpö west=Elmullin
Sossi north=Ääsälä south=Koohta east=Hipos west=Simmi
Nidallintas north=Iinelirelvä south=Ooste east=Kovuses west=Nasalpunte
Isuunojaassin north=Alloosos south=Väshä east=Hösöö west=Olvoo
Ööle north=Nahtoveri south=Hääli east=Saastupis west=Oraarke
Oojelunepe north=Kistaano south=Lontullisteni east=Aahte west=Epilö
Nasvin north=Äkinitä south=Sesimin east=Äiteläküä west=Älmekköölä
Nülkööde north=Aupollaa south=Renalasoos east=Önää west=Käntälön
Tuse north=Sönüseneltä south=Päälki east=Tiso west=Säänsä
Essi north=Nirka south=Äänä east=Vestääkis west=Ätö
Esüüste north=Sivii south=Ärälä east=Ikana west=Ättö
Jäkkä north=Ääköstäälüpin south=Käämpö east=Iskö west=Isupa
Kaaseso north=Ähö south=Inti east=Löllönälüte west=Iräs
Ippipakaa north=Pakas south=Ennävä east=Oskontudaksi west=Täähläätääköde
Äsvä north=Ihä south=Luusis east=Viplaankunaava west=Aruulvemantin
Öllös north=Itäsäntittä south=Hölöö east=Äällen west=Luttis
Sene north=Isaan south=Vivimääkänkäs east=Äröösten west=Isikkelo
Malmajeljuuppi north=Koosvehihtaki south=Ekaasasovoon east=Taankimunaan west=Ruuro
Eki north=Äödäänivöö south=Kuula east=Ääkühmi west=Etömis
Sasori north=Koppihi south=Leraaloos east=Eidilarraa west=Äällätti
Sanikkompumi north=Lähdihrä south=Kaakesporjua east=Ilide west=Hiresäsinüä
Esookeismane north=Tanti south=Inüüntüüs east=Anittalustes west=Ääksöö
Iraas north=Ösühä south=Minoolaaloole east=Ravui west=Aadisa
Hasve north=Eekünkä south=Laakke east=Pupie west=Sisirees
Olka north=Elkolokin south=Etti east=Ammikuupsullaa west=Alita
Kääsäde north=Kilonivatin south=Vira east=Äntineljääkin
Ilees north=Änäästä south=Aalaapumas east=Eesii west=Kervätütüühen
Naare north=Isöölekä south=Änki east=Ijün west=Nörüse
Ollitunuulet north=Äde south=Aujipile east=Pare west=Eenäköö
Äüme north=Tahis south=Sikküütäkävöö east=Mäläspe west=Ororhaa
Öpikä north=Seletüülüte south=Renti east=Äkkürö west=Oporsinoren
Ettonna north=Ruuturos south=Vämälüä east=Nälää west=Artaa
Äpäviilääke north=Nootooluupua south=Määsä east=Ilönöön west=Püüpöörpässiten
Hoopua north=Terertete south=Nanaat east=Lanus west=Siläämää
Naski north=Seirse south=Aavipa east=Ädepes west=Isällä
Rihoote north=Vätälää south=Neshä east=Kantee west=Nalajiikirraa
Päppäköö north=Relurruhtaanka south=Otkimmi west=Helmoitte
Kiheteves north=Emmis south=Räsüülölis east=Akkakemmekki west=Nöökää
Säkäären north=Tästüttö south=Anni east=Ältää west=Edaas
Ruja north=Sürsesläni south=Lekke east=Äkkerti west=Valelolmi
Ella north=Lätän south=Savaa east=Tusta west=Pestokamopa
Ane north=Mävivünsüüvi south=Elmöntä east=Aulilko west=Jäslästüä
